4_1_1_1 ;10;10
4_1_1_2 ;11;12
4_1_1_3 ;12;15
4_1_1_4 ;16;17
4_1_1_5 ;17;17
4_1_2_1 ;18;20
4_1_2_2 ;20;20
4_1_2_3 ;20;21
4_1_2_4 ;21;22
4_1_2_5 ;22;23
4_2_1_1 ;24;26
4_2_1_2 ;26;28
4_2_1_3 ;28;30
4_2_1_4 ;30;32
4_2_1_5 ;32;35
4_2_1_6 ;35;39
4_2_1_7 ;39;39
4_2_1_8 ;39;39
4_2_2_1 ;40;44
4_2_2_2 ;44;47
4_2_2_3 ;47;48
4_2_3_1 ;48;49
4_2_3_2 ;49;49
4_2_3_3 ;49;50
4_3_1_1 ;51;51
4_3_1_2 ;51;51
4_3_2_1 ;51;53
4_3_2_2 ;53;54
4_3_2_3 ;54;56
4_3_3_1 ;56;57
4_3_3_2 ;57;59
4_3_3_3 ;59;60
4_3_3_4 ;60;60
4_3_3_5 ;61;62
4_3_3_6 ;62;62
4_3_3_7 ;62;63
4_3_3_8 ;63;65
4_3_3_9 ;65;65
4_3_3_10 ;66;66
4_3_3_11 ;67;67
4_4_1_1 ;68;68
4_4_1_2 ;68;69
4_4_1_3 ;69;69
4_4_1_4 ;69;69
4_4_1_5 ;70;70
4_4_1_6 ;70;70
4_4_1_7 ;70;71
4_4_1_8 ;71;71
4_4_1_9 ;71;71
4_4_2_1 ;72;72
4_4_2_2 ;73;73
4_4_2_3 ;73;73
4_4_2_4 ;73;74
4_4_2_5 ;74;74
4_4_2_6 ;74;75
4_4_2_7 ;75;75
4_4_2_8 ;76;76
4_4_2_9 ;76;76
4_4_2_10 ;76;77
4_4_3_1 ;77;80
4_4_3_2 ;80;80
4_4_3_3 ;80;81
4_4_3_4 ;82;82
4_4_3_5 ;82;83
4_4_3_6 ;83;84
4_4_3_7 ;84;84
4_4_3_8 ;84;84
4_4_3_9 ;85;85
4_4_3_10 ;85;86
4_4_3_11 ;86;86
4_4_3_12 ;86;86
4_4_3_13 ;87;87
4_4_3_14 ;87;87
4_4_3_15 ;88;88
